CisBP_ID	PDB_ID	CisBP_BS_len	PDB_BS_len	Offset	P-value
M0758_1.02	5gat_1A	8	13	-2	0.697542
M0961_1.02	3a01_1A	9	17	-7	0.0387066
M0535_1.02	2i13_1A	12	21	-7	0.828861
M1713_1.02	2er8_1A	10	12	-3	0.402891
M1066_1.02	3a01_1A	8	17	-6	0.569639
M0321_1.02	2wty_1B	13	19	1	2.99539e-05
M0757_1.02	2c6y_1A	10	15	-1	0.0135998
M0731_1.02	3co6_1C	9	16	-4	0.0430815
M1160_1.02	1fjl_1A	9	14	-1	0.503038
M1447_1.02	1lo1_1A	9	13	-3	0.000100008
M0291_1.02	5vpf_1D	10	9	-2	0.424379
M0352_1.02	1ysa_1C	10	17	-3	0.106309
M1043_1.02	3a01_1A	10	17	-7	0.00746852
M0276_1.02	1dh3_1C	10	19	-4	0.931609
M1176_1.02	5lty_1K	8	18	-3	0.223162
M1137_1.02	6fqp_1B	10	16	-4	0.419279
M0244_1.02	1an4_1B	11	20	-4	0.0458906
M1189_1.02	3a01_1B	10	17	-6	0.231258
M0585_1.02	2d5v_1B	8	20	-9	0.762648
M0110_1.02	2oeh_1A	10	14	0	0.0970345
M1340_1.02	5lxu_1A	10	9	1	0.634009
M0608_1.02	2kkf_1A	10	12	4	0.963565
M0195_1.02	2ql2_1B	10	16	-3	0.00190571
M0010_1.02	1gcc_1A	8	11	-2	0.315535
M0702_1.02	1yo5_1C	10	13	0	0.000181642
M1414_1.02	3swp_1A	10	15	-1	0.90018
M0553_1.02	2i13_1B	9	18	-1	0.648742
M0529_1.02	1a1h_1A	8	10	1	0.764246
M1480_1.02	3dzy_1A	9	15	-9	0.0723602
M1726_1.02	1hwt_1G	10	9	-2	0.614927
M0204_1.02	4h10_1A	9	14	-3	0.0124481
M1065_1.02	3a01_1B	10	17	-6	0.224341
M0428_1.02	5wjq_1D	8	28	-14	0.923125
M0544_1.02	2i13_1A	10	21	-15	0.83293
M0992_1.02	3a01_1F	9	17	-1	0.0709423
M0991_1.02	5hod_1A	7	16	-9	0.28972
M1012_1.02	2r5z_1A	9	19	-8	0.0403769
M1455_1.02	3dzy_1A	8	15	-7	0.00684505
M1724_1.02	1hwt_1G	8	9	0	0.320317
M0605_1.02	6asb_1C	9	16	-6	0.769342
M0937_1.02	1lfu_1P	7	14	-5	0.0976793
M1308_1.02	5lxu_1A	11	9	2	0.216008
M0896_1.02	2me6_1A	8	14	-3	0.0284636
M0679_1.02	1cf7_1A	9	15	-2	0.20045
M0836_1.02	6a8r_1B	8	9	1	0.451509
M1616_1.02	3u2b_1C	11	16	-3	0.00886427
M0306_1.02	1t2k_1D	13	15	0	0.347047
M1805_1.02	1hwt_1D	9	19	-6	0.73854
M0393_1.02	2gli_1A	11	20	-6	0.0113601
M0402_1.02	5ke7_1A	10	10	2	0.104033
M1124_1.02	2me6_1A	8	14	-2	0.0160015
M1621_1.02	2ayg_1B	9	18	0	0.671479
M0364_1.02	1t2k_1D	10	15	1	0.160096
M1398_1.02	3zqc_1G	10	8	4	0.622956
M1087_1.02	1nk3_1P	9	13	-3	0.000121297
M0475_1.02	1f2i_1L	9	9	-2	0.337879
M1200_1.02	5hod_1A	12	16	-6	0.0451133
M1165_1.02	4rdu_1D	8	12	4	0.479645
M0530_1.02	2gli_1A	8	20	2	0.428056
M1170_1.02	2h1k_1B	11	14	1	0.798361
M1499_1.02	1mdm_1A	10	25	-11	0.640036
M1093_1.02	1lfu_1P	9	14	-5	0.0248775
M0956_1.02	2lkx_1A	8	13	-3	0.000189187
M0666_1.02	1cf7_1A	11	15	-2	0.00751609
M1530_1.02	4m8b_1R	10	19	5	0.990209
M0002_1.02	4lmg_1C	11	12	-1	0.0288933
M0499_1.02	4x9j_1A	7	10	-2	0.00386945
M0236_1.02	1am9_1D	14	24	-10	1.0
M1478_1.02	4aa6_1A	10	16	-1	0.00526397
M0592_1.02	5fd3_1A	10	10	5	0.305009
M0728_1.02	2c6y_1A	12	15	-2	0.0931095
M0652_1.02	5fj8_1E	9	11	-6	0.719848
M0601_1.02	5fd3_1A	10	10	5	0.555918
M1799_1.02	1zme_1D	9	16	-9	0.24866
M1793_1.02	3coq_1B	8	19	-11	0.0402242
M0457_1.02	1ubd_1C	9	20	-2	0.117492
M0253_1.02	4h10_1B	10	14	-2	0.0729524
M0463_1.02	6b0r_1A	9	14	-2	0.826829
M0485_1.02	1llm_1D	8	12	-7	0.721509
M0498_1.02	4f6m_1A	10	19	0	0.0196463
M1524_1.02	4x0g_1D	10	18	-2	0.800688
M1077_1.02	5hod_1A	8	16	-8	0.00266227
M1737_1.02	1hwt_1D	8	19	3	0.905335
M1142_1.02	5hod_1A	11	16	-6	0.0755743
M1448_1.02	5l0m_1A	8	12	-3	0.00325424
M0791_1.02	7gat_1A	9	13	-2	0.52945
M0255_1.02	1dh3_1C	9	19	-6	0.878524
M0206_1.02	4h10_1A	9	14	-3	0.016648
M1762_1.02	1d66_1B	7	19	-15	0.742089
M0165_1.02	5gnj_1B	10	13	-4	0.0651524
M0568_1.02	2i13_1B	8	18	-6	0.791254
M1183_1.02	5zjt_1E	11	10	0	0.914186
M1326_1.02	5lxu_1A	10	9	2	0.0146984
